terms,title,abstract,abstract_len,title_len
"['cs.LG', 'stat.ML']",Approximate Inference and Stochastic Optimal Control,"We propose a novel reformulation of the stochastic optimal control problem as
an approximate inference problem, demonstrating, that such a interpretation
leads to new practical methods for the original problem. In particular we
characterise a novel class of iterative solutions to the stochastic optimal
control problem based on a natural relaxation of the exact dual formulation.
These theoretical insights are applied to the Reinforcement Learning problem
where they lead to new model free, off policy methods for discrete and
continuous problems.",549,52
['cs.CV'],Perturb-and-MPM: Quantifying Segmentation Uncertainty in Dense Multi-Label CRFs,"This paper proposes a novel approach for uncertainty quantification in dense
Conditional Random Fields (CRFs). The presented approach, called
Perturb-and-MPM, enables efficient, approximate sampling from dense multi-label
CRFs via random perturbations. An analytic error analysis was performed which
identified the main cause of approximation error as well as showed that the
error is bounded. Spatial uncertainty maps can be derived from the
Perturb-and-MPM model, which can be used to visualize uncertainty in image
segmentation results. The method is validated on synthetic and clinical
Magnetic Resonance Imaging data. The effectiveness of the approach is
demonstrated on the challenging problem of segmenting the tumor core in
glioblastoma. We found that areas of high uncertainty correspond well to
wrongly segmented image regions. Furthermore, we demonstrate the potential use
of uncertainty maps to refine imaging biomarkers in the case of extent of
resection and residual tumor volume in brain tumor patients.",1018,79
"['cs.CV', 'cs.LG', 'cs.RO']",Is attention to bounding boxes all you need for pedestrian action prediction?,"The human driver is no longer the only one concerned with the complexity of
the driving scenarios. Autonomous vehicles (AV) are similarly becoming involved
in the process. Nowadays, the development of AV in urban places underpins
essential safety concerns for vulnerable road users (VRUs) such as pedestrians.
Therefore, to make the roads safer, it is critical to classify and predict
their future behavior. In this paper, we present a framework based on multiple
variations of the Transformer models to reason attentively about the dynamic
evolution of the pedestrians' past trajectory and predict its future actions of
crossing or not crossing the street. We proved that using only bounding boxes
as input to our model can outperform the previous state-of-the-art models and
reach a prediction accuracy of 91 % and an F1-score of 0.83 on the PIE dataset
up to two seconds ahead in the future. In addition, we introduced a large-size
simulated dataset (CP2A) using CARLA for action prediction. Our model has
similarly reached high accuracy (91 %) and F1-score (0.91) on this dataset.
Interestingly, we showed that pre-training our Transformer model on the
simulated dataset and then fine-tuning it on the real dataset can be very
effective for the action prediction task.",1272,77
['cs.CV'],Network-Agnostic Knowledge Transfer for Medical Image Segmentation,"Conventional transfer learning leverages weights of pre-trained networks, but
mandates the need for similar neural architectures. Alternatively, knowledge
distillation can transfer knowledge between heterogeneous networks but often
requires access to the original training data or additional generative
networks. Knowledge transfer between networks can be improved by being agnostic
to the choice of network architecture and reducing the dependence on original
training data. We propose a knowledge transfer approach from a teacher to a
student network wherein we train the student on an independent transferal
dataset, whose annotations are generated by the teacher. Experiments were
conducted on five state-of-the-art networks for semantic segmentation and seven
datasets across three imaging modalities. We studied knowledge transfer from a
single teacher, combination of knowledge transfer and fine-tuning, and
knowledge transfer from multiple teachers. The student model with a single
teacher achieved similar performance as the teacher; and the student model with
multiple teachers achieved better performance than the teachers. The salient
features of our algorithm include: 1)no need for original training data or
generative networks, 2) knowledge transfer between different architectures, 3)
ease of implementation for downstream tasks by using the downstream task
dataset as the transferal dataset, 4) knowledge transfer of an ensemble of
models, trained independently, into one student model. Extensive experiments
demonstrate that the proposed algorithm is effective for knowledge transfer and
easily tunable.",1621,66
['cs.CV'],ICE-GAN: Identity-aware and Capsule-Enhanced GAN with Graph-based Reasoning for Micro-Expression Recognition and Synthesis,"Micro-expressions are reflections of people's true feelings and motives,
which attract an increasing number of researchers into the study of automatic
facial micro-expression recognition. The short detection window, the subtle
facial muscle movements, and the limited training samples make micro-expression
recognition challenging. To this end, we propose a novel Identity-aware and
Capsule-Enhanced Generative Adversarial Network with graph-based reasoning
(ICE-GAN), introducing micro-expression synthesis as an auxiliary task to
assist recognition. The generator produces synthetic faces with controllable
micro-expressions and identity-aware features, whose long-ranged dependencies
are captured through the graph reasoning module (GRM), and the discriminator
detects the image authenticity and expression classes. Our ICE-GAN was
evaluated on Micro-Expression Grand Challenge 2019 (MEGC2019) with a
significant improvement (12.9%) over the winner and surpassed other
state-of-the-art methods.",997,122
"['cs.LG', 'stat.ML']",Short-term Demand Forecasting for Online Car-hailing Services using Recurrent Neural Networks,"Short-term traffic flow prediction is one of the crucial issues in
intelligent transportation system, which is an important part of smart cities.
Accurate predictions can enable both the drivers and the passengers to make
better decisions about their travel route, departure time and travel origin
selection, which can be helpful in traffic management. Multiple models and
algorithms based on time series prediction and machine learning were applied to
this issue and achieved acceptable results. Recently, the availability of
sufficient data and computational power, motivates us to improve the prediction
accuracy via deep-learning approaches. Recurrent neural networks have become
one of the most popular methods for time series forecasting, however, due to
the variety of these networks, the question that which type is the most
appropriate one for this task remains unsolved. In this paper, we use three
kinds of recurrent neural networks including simple RNN units, GRU and LSTM
neural network to predict short-term traffic flow. The dataset from TAP30
Corporation is used for building the models and comparing RNNs with several
well-known models, such as DEMA, LASSO and XGBoost. The results show that all
three types of RNNs outperform the others, however, more simple RNNs such as
simple recurrent units and GRU perform work better than LSTM in terms of
accuracy and training time.",1390,93
"['cs.LG', 'stat.ML']",Meta-Reinforcement Learning Robust to Distributional Shift via Model Identification and Experience Relabeling,"Reinforcement learning algorithms can acquire policies for complex tasks
autonomously. However, the number of samples required to learn a diverse set of
skills can be prohibitively large. While meta-reinforcement learning methods
have enabled agents to leverage prior experience to adapt quickly to new tasks,
their performance depends crucially on how close the new task is to the
previously experienced tasks. Current approaches are either not able to
extrapolate well, or can do so at the expense of requiring extremely large
amounts of data for on-policy meta-training. In this work, we present model
identification and experience relabeling (MIER), a meta-reinforcement learning
algorithm that is both efficient and extrapolates well when faced with
out-of-distribution tasks at test time. Our method is based on a simple
insight: we recognize that dynamics models can be adapted efficiently and
consistently with off-policy data, more easily than policies and value
functions. These dynamics models can then be used to continue training policies
and value functions for out-of-distribution tasks without using
meta-reinforcement learning at all, by generating synthetic experience for the
new task.",1204,109
"['cs.LG', 'stat.ML']",Understanding and Resolving Performance Degradation in Graph Convolutional Networks,"A Graph Convolutional Network (GCN) stacks several layers and in each layer
performs a PROPagation operation (PROP) and a TRANsformation operation (TRAN)
for learning node representations over graph-structured data. Though powerful,
GCNs tend to suffer performance drop when the model gets deep. Previous works
focus on PROPs to study and mitigate this issue, but the role of TRANs is
barely investigated. In this work, we study performance degradation of GCNs by
experimentally examining how stacking only TRANs or PROPs works. We find that
TRANs contribute significantly, or even more than PROPs, to declining
performance, and moreover that they tend to amplify node-wise feature variance
in GCNs, causing variance inflammation that we identify as a key factor for
causing performance drop. Motivated by such observations, we propose a
variance-controlling technique termed Node Normalization (NodeNorm), which
scales each node's features using its own standard deviation. Experimental
results validate the effectiveness of NodeNorm on addressing performance
degradation of GCNs. Specifically, it enables deep GCNs to outperform shallow
ones in cases where deep models are needed, and to achieve comparable results
with shallow ones on 6 benchmark datasets. NodeNorm is a generic plug-in and
can well generalize to other GNN architectures. Code is publicly available at
https://github.com/miafei/NodeNorm.",1407,83
['cs.CV'],Joint Image Filtering with Deep Convolutional Networks,"Joint image filters leverage the guidance image as a prior and transfer the
structural details from the guidance image to the target image for suppressing
noise or enhancing spatial resolution. Existing methods either rely on various
explicit filter constructions or hand-designed objective functions, thereby
making it difficult to understand, improve, and accelerate these filters in a
coherent framework. In this paper, we propose a learning-based approach for
constructing joint filters based on Convolutional Neural Networks. In contrast
to existing methods that consider only the guidance image, the proposed
algorithm can selectively transfer salient structures that are consistent with
both guidance and target images. We show that the model trained on a certain
type of data, e.g., RGB and depth images, generalizes well to other modalities,
e.g., flash/non-Flash and RGB/NIR images. We validate the effectiveness of the
proposed joint filter through extensive experimental evaluations with
state-of-the-art methods.",1025,54
['cs.CV'],Learning Rank Reduced Interpolation with Principal Component Analysis,"In computer vision most iterative optimization algorithms, both sparse and
dense, rely on a coarse and reliable dense initialization to bootstrap their
optimization procedure. For example, dense optical flow algorithms profit
massively in speed and robustness if they are initialized well in the basin of
convergence of the used loss function. The same holds true for methods as
sparse feature tracking when initial flow or depth information for new features
at arbitrary positions is needed. This makes it extremely important to have
techniques at hand that allow to obtain from only very few available
measurements a dense but still approximative sketch of a desired 2D structure
(e.g. depth maps, optical flow, disparity maps, etc.). The 2D map is regarded
as sample from a 2D random process. The method presented here exploits the
complete information given by the principal component analysis (PCA) of that
process, the principal basis and its prior distribution. The method is able to
determine a dense reconstruction from sparse measurement. When facing
situations with only very sparse measurements, typically the number of
principal components is further reduced which results in a loss of
expressiveness of the basis. We overcome this problem and inject prior
knowledge in a maximum a posterior (MAP) approach. We test our approach on the
KITTI and the virtual KITTI datasets and focus on the interpolation of depth
maps for driving scenes. The evaluation of the results show good agreement to
the ground truth and are clearly better than results of interpolation by the
nearest neighbor method which disregards statistical information.",1646,69
"['cs.LG', 'stat.ML']",Provably adaptive reinforcement learning in metric spaces,"We study reinforcement learning in continuous state and action spaces endowed
with a metric. We provide a refined analysis of the algorithm of Sinclair,
Banerjee, and Yu (2019) and show that its regret scales with the \emph{zooming
dimension} of the instance. This parameter, which originates in the bandit
literature, captures the size of the subsets of near optimal actions and is
always smaller than the covering dimension used in previous analyses. As such,
our results are the first provably adaptive guarantees for reinforcement
learning in metric spaces.",561,57
['cs.CV'],M6-UFC: Unifying Multi-Modal Controls for Conditional Image Synthesis,"Conditional image synthesis aims to create an image according to some
multi-modal guidance in the forms of textual descriptions, reference images,
and image blocks to preserve, as well as their combinations. In this paper,
instead of investigating these control signals separately, we propose a new
two-stage architecture, UFC-BERT, to unify any number of multi-modal controls.
In UFC-BERT, both the diverse control signals and the synthesized image are
uniformly represented as a sequence of discrete tokens to be processed by
Transformer. Different from existing two-stage autoregressive approaches such
as DALL-E and VQGAN, UFC-BERT adopts non-autoregressive generation (NAR) at the
second stage to enhance the holistic consistency of the synthesized image, to
support preserving specified image blocks, and to improve the synthesis speed.
Further, we design a progressive algorithm that iteratively improves the
non-autoregressively generated image, with the help of two estimators developed
for evaluating the compliance with the controls and evaluating the fidelity of
the synthesized image, respectively. Extensive experiments on a newly collected
large-scale clothing dataset M2C-Fashion and a facial dataset Multi-Modal
CelebA-HQ verify that UFC-BERT can synthesize high-fidelity images that comply
with flexible multi-modal controls.",1343,69
"['cs.CV', 'cs.AI', 'cs.LG']",SPDA: Superpixel-based Data Augmentation for Biomedical Image Segmentation,"Supervised training a deep neural network aims to ""teach"" the network to
mimic human visual perception that is represented by image-and-label pairs in
the training data. Superpixelized (SP) images are visually perceivable to
humans, but a conventionally trained deep learning model often performs poorly
when working on SP images. To better mimic human visual perception, we think it
is desirable for the deep learning model to be able to perceive not only raw
images but also SP images. In this paper, we propose a new superpixel-based
data augmentation (SPDA) method for training deep learning models for
biomedical image segmentation. Our method applies a superpixel generation
scheme to all the original training images to generate superpixelized images.
The SP images thus obtained are then jointly used with the original training
images to train a deep learning model. Our experiments of SPDA on four
biomedical image datasets show that SPDA is effective and can consistently
improve the performance of state-of-the-art fully convolutional networks for
biomedical image segmentation in 2D and 3D images. Additional studies also
demonstrate that SPDA can practically reduce the generalization gap.",1202,74
['cs.CV'],Fast Point Voxel Convolution Neural Network with Selective Feature Fusion for Point Cloud Semantic Segmentation,"We present a novel lightweight convolutional neural network for point cloud
analysis. In contrast to many current CNNs which increase receptive field by
downsampling point cloud, our method directly operates on the entire point sets
without sampling and achieves good performances efficiently. Our network
consists of point voxel convolution (PVC) layer as building block. Each layer
has two parallel branches, namely the voxel branch and the point branch. For
the voxel branch specifically, we aggregate local features on non-empty voxel
centers to reduce geometric information loss caused by voxelization, then apply
volumetric convolutions to enhance local neighborhood geometry encoding. For
the point branch, we use Multi-Layer Perceptron (MLP) to extract fine-detailed
point-wise features. Outputs from these two branches are adaptively fused via a
feature selection module. Moreover, we supervise the output from every PVC
layer to learn different levels of semantic information. The final prediction
is made by averaging all intermediate predictions. We demonstrate empirically
that our method is able to achieve comparable results while being fast and
memory efficient. We evaluate our method on popular point cloud datasets for
object classification and semantic segmentation tasks.",1292,111
['cs.CV'],ScarfNet: Multi-scale Features with Deeply Fused and Redistributed Semantics for Enhanced Object Detection,"Convolutional neural network (CNN) has led to significant progress in object
detection. In order to detect the objects in various sizes, the object
detectors often exploit the hierarchy of the multi-scale feature maps called
feature pyramid, which is readily obtained by the CNN architecture. However,
the performance of these object detectors is limited since the bottom-level
feature maps, which experience fewer convolutional layers, lack the semantic
information needed to capture the characteristics of the small objects. In
order to address such problem, various methods have been proposed to increase
the depth for the bottom-level features used for object detection. While most
approaches are based on the generation of additional features through the
top-down pathway with lateral connections, our approach directly fuses
multi-scale feature maps using bidirectional long short term memory (biLSTM) in
effort to generate deeply fused semantics. Then, the resulting semantic
information is redistributed to the individual pyramidal feature at each scale
through the channel-wise attention model. We integrate our semantic combining
and attentive redistribution feature network (ScarfNet) with baseline object
detectors, i.e., Faster R-CNN, single-shot multibox detector (SSD) and
RetinaNet. Our experiments show that our method outperforms the existing
feature pyramid methods as well as the baseline detectors and achieve the state
of the art performances in the PASCAL VOC and COCO detection benchmarks.",1513,106
"['cs.CV', 'cs.LG']","""Double-DIP"": Unsupervised Image Decomposition via Coupled Deep-Image-Priors","Many seemingly unrelated computer vision tasks can be viewed as a special
case of image decomposition into separate layers. For example, image
segmentation (separation into foreground and background layers); transparent
layer separation (into reflection and transmission layers); Image dehazing
(separation into a clear image and a haze map), and more. In this paper we
propose a unified framework for unsupervised layer decomposition of a single
image, based on coupled ""Deep-image-Prior"" (DIP) networks. It was shown
[Ulyanov et al] that the structure of a single DIP generator network is
sufficient to capture the low-level statistics of a single image. We show that
coupling multiple such DIPs provides a powerful tool for decomposing images
into their basic components, for a wide variety of applications. This
capability stems from the fact that the internal statistics of a mixture of
layers is more complex than the statistics of each of its individual
components. We show the power of this approach for Image-Dehazing, Fg/Bg
Segmentation, Watermark-Removal, Transparency Separation in images and video,
and more. These capabilities are achieved in a totally unsupervised way, with
no training examples other than the input image/video itself.",1251,76
['cs.CV'],"Large-scale, Fast and Accurate Shot Boundary Detection through Spatio-temporal Convolutional Neural Networks","Shot boundary detection (SBD) is an important pre-processing step for video
manipulation. Here, each segment of frames is classified as either sharp,
gradual or no transition. Current SBD techniques analyze hand-crafted features
and attempt to optimize both detection accuracy and processing speed. However,
the heavy computations of optical flow prevents this. To achieve this aim, we
present an SBD technique based on spatio-temporal Convolutional Neural Networks
(CNN). Since current datasets are not large enough to train an accurate SBD
CNN, we present a new dataset containing more than 3.5 million frames of sharp
and gradual transitions. The transitions are generated synthetically using
image compositing models. Our dataset contain additional 70,000 frames of
important hard-negative no transitions. We perform the largest evaluation to
date for one SBD algorithm, on real and synthetic data, containing more than
4.85 million frames. In comparison to the state of the art, we outperform
dissolve gradual detection, generate competitive performance for sharp
detections and produce significant improvement in wipes. In addition, we are up
to 11 times faster than the state of the art.",1194,108
['cs.CV'],Revisiting Gray Pixel for Statistical Illumination Estimation,"We present a statistical color constancy method that relies on novel gray
pixel detection and mean shift clustering. The method, called Mean Shifted Grey
Pixel -- MSGP, is based on the observation: true-gray pixels are aligned
towards one single direction. Our solution is compact, easy to compute and
requires no training. Experiments on two real-world benchmarks show that the
proposed approach outperforms state-of-the-art methods in the camera-agnostic
scenario. In the setting where the camera is known, MSGP outperforms all
statistical methods.",550,61
"['cs.LG', 'cs.AI', 'cs.LO']",LIME: Learning Inductive Bias for Primitives of Mathematical Reasoning,"While designing inductive bias in neural architectures has been widely
studied, we hypothesize that transformer networks are flexible enough to learn
inductive bias from suitable generic tasks. Here, we replace architecture
engineering by encoding inductive bias in the form of datasets. Inspired by
Peirce's view that deduction, induction, and abduction form an irreducible set
of reasoning primitives, we design three synthetic tasks that are intended to
require the model to have these three abilities. We specifically design these
synthetic tasks in a way that they are devoid of mathematical knowledge to
ensure that only the fundamental reasoning biases can be learned from these
tasks. This defines a new pre-training methodology called ""LIME"" (Learning
Inductive bias for Mathematical rEasoning). Models trained with LIME
significantly outperform vanilla transformers on three very different large
mathematical reasoning benchmarks. Unlike dominating the computation cost as
traditional pre-training approaches, LIME requires only a small fraction of the
computation cost of the typical downstream task.",1111,70
"['cs.CV', 'cs.LG']",Monocular Depth Estimation Using Multi Scale Neural Network And Feature Fusion,"Depth estimation from monocular images is a challenging problem in computer
vision. In this paper, we tackle this problem using a novel network
architecture using multi scale feature fusion. Our network uses two different
blocks, first which uses different filter sizes for convolution and merges all
the individual feature maps. The second block uses dilated convolutions in
place of fully connected layers thus reducing computations and increasing the
receptive field. We present a new loss function for training the network which
uses a depth regression term, SSIM loss term and a multinomial logistic loss
term combined. We train and test our network on Make 3D dataset, NYU Depth V2
dataset and Kitti dataset using standard evaluation metrics for depth
estimation comprised of RMSE loss and SILog loss. Our network outperforms
previous state of the art methods with lesser parameters.",889,78
"['cs.LG', 'cs.CV']",EC-GAN: Low-Sample Classification using Semi-Supervised Algorithms and GANs,"Semi-supervised learning has been gaining attention as it allows for
performing image analysis tasks such as classification with limited labeled
data. Some popular algorithms using Generative Adversarial Networks (GANs) for
semi-supervised classification share a single architecture for classification
and discrimination. However, this may require a model to converge to a separate
data distribution for each task, which may reduce overall performance. While
progress in semi-supervised learning has been made, less addressed are
small-scale, fully-supervised tasks where even unlabeled data is unavailable
and unattainable. We therefore, propose a novel GAN model namely External
Classifier GAN (EC-GAN), that utilizes GANs and semi-supervised algorithms to
improve classification in fully-supervised regimes. Our method leverages a GAN
to generate artificial data used to supplement supervised classification. More
specifically, we attach an external classifier, hence the name EC-GAN, to the
GAN's generator, as opposed to sharing an architecture with the discriminator.
Our experiments demonstrate that EC-GAN's performance is comparable to the
shared architecture method, far superior to the standard data augmentation and
regularization-based approach, and effective on a small, realistic dataset.",1303,75
"['cs.LG', 'cs.MA', 'stat.ML']",Efficient Ridesharing Dispatch Using Multi-Agent Reinforcement Learning,"With the advent of ride-sharing services, there is a huge increase in the
number of people who rely on them for various needs. Most of the earlier
approaches tackling this issue required handcrafted functions for estimating
travel times and passenger waiting times. Traditional Reinforcement Learning
(RL) based methods attempting to solve the ridesharing problem are unable to
accurately model the complex environment in which taxis operate. Prior
Multi-Agent Deep RL based methods based on Independent DQN (IDQN) learn
decentralized value functions prone to instability due to the concurrent
learning and exploring of multiple agents. Our proposed method based on QMIX is
able to achieve centralized training with decentralized execution. We show that
our model performs better than the IDQN baseline on a fixed grid size and is
able to generalize well to smaller or larger grid sizes. Also, our algorithm is
able to outperform IDQN baseline in the scenario where we have a variable
number of passengers and cars in each episode. Code for our paper is publicly
available at: https://github.com/UMich-ML-Group/RL-Ridesharing.",1126,71
['cs.CV'],Relationship-Aware Spatial Perception Fusion for Realistic Scene Layout Generation,"The significant progress on Generative Adversarial Networks (GANs) have made
it possible to generate surprisingly realistic images for single object based
on natural language descriptions. However, controlled generation of images for
multiple entities with explicit interactions is still difficult to achieve due
to the scene layout generation heavily suffer from the diversity object scaling
and spatial locations. In this paper, we proposed a novel framework for
generating realistic image layout from textual scene graphs. In our framework,
a spatial constraint module is designed to fit reasonable scaling and spatial
layout of object pairs with considering relationship between them. Moreover, a
contextual fusion module is introduced for fusing pair-wise spatial information
in terms of object dependency in scene graph. By using these two modules, our
proposed framework tends to generate more commonsense layout which is helpful
for realistic image generation. Experimental results including quantitative
results, qualitative results and user studies on two different scene graph
datasets demonstrate our proposed framework's ability to generate complex and
logical layout with multiple objects from scene graph.",1220,82
"['cs.CV', 'cs.RO']",NudgeSeg: Zero-Shot Object Segmentation by Repeated Physical Interaction,"Recent advances in object segmentation have demonstrated that deep neural
networks excel at object segmentation for specific classes in color and depth
images. However, their performance is dictated by the number of classes and
objects used for training, thereby hindering generalization to never seen
objects or zero-shot samples. To exacerbate the problem further, object
segmentation using image frames rely on recognition and pattern matching cues.
Instead, we utilize the 'active' nature of a robot and their ability to
'interact' with the environment to induce additional geometric constraints for
segmenting zero-shot samples.
  In this paper, we present the first framework to segment unknown objects in a
cluttered scene by repeatedly 'nudging' at the objects and moving them to
obtain additional motion cues at every step using only a monochrome monocular
camera. We call our framework NudgeSeg. These motion cues are used to refine
the segmentation masks. We successfully test our approach to segment novel
objects in various cluttered scenes and provide an extensive study with image
and motion segmentation methods. We show an impressive average detection rate
of over 86% on zero-shot objects.",1207,72
['cs.LG'],Causal Influence Detection for Improving Efficiency in Reinforcement Learning,"Many reinforcement learning (RL) environments consist of independent entities
that interact sparsely. In such environments, RL agents have only limited
influence over other entities in any particular situation. Our idea in this
work is that learning can be efficiently guided by knowing when and what the
agent can influence with its actions. To achieve this, we introduce a measure
of situation-dependent causal influence based on conditional mutual information
and show that it can reliably detect states of influence. We then propose
several ways to integrate this measure into RL algorithms to improve
exploration and off-policy learning. All modified algorithms show strong
increases in data efficiency on robotic manipulation tasks.",738,77
['cs.CV'],Fully Convolutional Scene Graph Generation,"This paper presents a fully convolutional scene graph generation (FCSGG)
model that detects objects and relations simultaneously. Most of the scene
graph generation frameworks use a pre-trained two-stage object detector, like
Faster R-CNN, and build scene graphs using bounding box features. Such pipeline
usually has a large number of parameters and low inference speed. Unlike these
approaches, FCSGG is a conceptually elegant and efficient bottom-up approach
that encodes objects as bounding box center points, and relationships as 2D
vector fields which are named as Relation Affinity Fields (RAFs). RAFs encode
both semantic and spatial features, and explicitly represent the relationship
between a pair of objects by the integral on a sub-region that points from
subject to object. FCSGG only utilizes visual features and still generates
strong results for scene graph generation. Comprehensive experiments on the
Visual Genome dataset demonstrate the efficacy, efficiency, and
generalizability of the proposed method. FCSGG achieves highly competitive
results on recall and zero-shot recall with significantly reduced inference
time.",1140,42
['cs.LG'],Learning Graph-Structured Sum-Product Networks for Probabilistic Semantic Maps,"We introduce Graph-Structured Sum-Product Networks (GraphSPNs), a
probabilistic approach to structured prediction for problems where dependencies
between latent variables are expressed in terms of arbitrary, dynamic graphs.
While many approaches to structured prediction place strict constraints on the
interactions between inferred variables, many real-world problems can be only
characterized using complex graph structures of varying size, often
contaminated with noise when obtained from real data. Here, we focus on one
such problem in the domain of robotics. We demonstrate how GraphSPNs can be
used to bolster inference about semantic, conceptual place descriptions using
noisy topological relations discovered by a robot exploring large-scale office
spaces. Through experiments, we show that GraphSPNs consistently outperform the
traditional approach based on undirected graphical models, successfully
disambiguating information in global semantic maps built from uncertain, noisy
local evidence. We further exploit the probabilistic nature of the model to
infer marginal distributions over semantic descriptions of as yet unexplored
places and detect spatial environment configurations that are novel and
incongruent with the known evidence.",1250,78
"['stat.ML', '62-09, 62H15, 62C05']",Optimal statistical decision for Gaussian graphical model selection,"Gaussian graphical model is a graphical representation of the dependence
structure for a Gaussian random vector. It is recognized as a powerful tool in
different applied fields such as bioinformatics, error-control codes, speech
language, information retrieval and others. Gaussian graphical model selection
is a statistical problem to identify the Gaussian graphical model from a sample
of a given size. Different approaches for Gaussian graphical model selection
are suggested in the literature. One of them is based on considering the family
of individual conditional independence tests. The application of this approach
leads to the construction of a variety of multiple testing statistical
procedures for Gaussian graphical model selection. An important characteristic
of these procedures is its error rate for a given sample size. In existing
literature great attention is paid to the control of error rates for incorrect
edge inclusion (Type I error). However, in graphical model selection it is also
important to take into account error rates for incorrect edge exclusion (Type
II error). To deal with this issue we consider the graphical model selection
problem in the framework of the multiple decision theory. The quality of
statistical procedures is measured by a risk function with additive losses.
Additive losses allow both types of errors to be taken into account. We
construct the tests of a Neyman structure for individual hypotheses and combine
them to obtain a multiple decision statistical procedure. We show that the
obtained procedure is optimal in the sense that it minimizes the linear
combination of expected numbers of Type I and Type II errors in the class of
unbiased multiple decision procedures.",1726,67
"['cs.CV', 'cs.AI', 'cs.LG', '68T30, 68U10', 'I.2']",What's in the box? Explaining the black-box model through an evaluation of its interpretable features,"Algorithms are powerful and necessary tools behind a large part of the
information we use every day. However, they may introduce new sources of bias,
discrimination and other unfair practices that affect people who are unaware of
it. Greater algorithm transparency is indispensable to provide more credible
and reliable services. Moreover, requiring developers to design transparent
algorithm-driven applications allows them to keep the model accessible and
human understandable, increasing the trust of end users. In this paper we
present EBAnO, a new engine able to produce prediction-local explanations for a
black-box model exploiting interpretable feature perturbations. EBAnO exploits
the hypercolumns representation together with the cluster analysis to identify
a set of interpretable features of images. Furthermore two indices have been
proposed to measure the influence of input features on the final prediction
made by a CNN model. EBAnO has been preliminarily tested on a set of
heterogeneous images. The results highlight the effectiveness of EBAnO in
explaining the CNN classification through the evaluation of interpretable
features influence.",1159,101
"['cs.CV', 'cs.LG', 'eess.IV', 'eess.SP']",SPI-GAN: Towards Single-Pixel Imaging through Generative Adversarial Network,"Single-pixel imaging is a novel imaging scheme that has gained popularity due
to its huge computational gain and potential for a low-cost alternative to
imaging beyond the visible spectrum. The traditional reconstruction methods
struggle to produce a clear recovery when one limits the number of illumination
patterns from a spatial light modulator. As a remedy, several
deep-learning-based solutions have been proposed which lack good generalization
ability due to the architectural setup and loss functions. In this paper, we
propose a generative adversarial network-based reconstruction framework for
single-pixel imaging, referred to as SPI-GAN. Our method can reconstruct images
with 17.92 dB PSNR and 0.487 SSIM, even if the sampling ratio drops to 5%. This
facilitates much faster reconstruction making our method suitable for
single-pixel video. Furthermore, our ResNet-like architecture for the generator
leads to useful representation learning that allows us to reconstruct
completely unseen objects. The experimental results demonstrate that SPI-GAN
achieves significant performance gain, e.g. near 3dB PSNR gain, over the
current state-of-the-art method.",1166,76
"['cs.LG', 'cs.CV', 'stat.ML']",Noise Homogenization via Multi-Channel Wavelet Filtering for High-Fidelity Sample Generation in GANs,"In the generator of typical Generative Adversarial Networks (GANs), a noise
is inputted to generate fake samples via a series of convolutional operations.
However, current noise generation models merely relies on the information from
the pixel space, which increases the difficulty to approach the target
distribution. Fortunately, the long proven wavelet transformation is able to
decompose multiple spectral information from the images. In this work, we
propose a novel multi-channel wavelet-based filtering method for GANs, to cope
with this problem. When embedding a wavelet deconvolution layer in the
generator, the resultant GAN, called WaveletGAN, takes advantage of the wavelet
deconvolution to learn a filtering with multiple channels, which can
efficiently homogenize the generated noise via an averaging operation, so as to
generate high-fidelity samples. We conducted benchmark experiments on the
Fashion-MNIST, KMNIST and SVHN datasets through an open GAN benchmark tool. The
results show that WaveletGAN has excellent performance in generating
high-fidelity samples, thanks to the smallest FIDs obtained on these datasets.",1136,100
"['cs.LG', 'stat.ML']",A Hybrid PAC Reinforcement Learning Algorithm,"This paper offers a new hybrid probably approximately correct (PAC)
reinforcement learning (RL) algorithm for Markov decision processes (MDPs) that
intelligently maintains favorable features of its parents. The designed
algorithm, referred to as the Dyna-Delayed Q-learning (DDQ) algorithm, combines
model-free and model-based learning approaches while outperforming both in most
cases. The paper includes a PAC analysis of the DDQ algorithm and a derivation
of its sample complexity. Numerical results are provided to support the claim
regarding the new algorithm's sample efficiency compared to its parents as well
as the best known model-free and model-based algorithms in application.",688,45
"['cs.CV', 'cs.LG', 'eess.IV']",Slot Based Image Augmentation System for Object Detection,"Object Detection has been a significant topic in computer vision. As the
continuous development of Deep Learning, many advanced academic and industrial
outcomes are established on localising and classifying the target objects, such
as instance segmentation, video tracking and robotic vision. As the core
concept of Deep Learning, Deep Neural Networks (DNNs) and associated training
are highly integrated with task-driven modelling, having great effects on
accurate detection. The main focus of improving detection performance is
proposing DNNs with extra layers and novel topological connections to extract
the desired features from input data. However, training these models can be
computationally expensive and laborious progress as the complicated model
architecture and enormous parameters. Besides, the dataset is another reason
causing this issue and low detection accuracy, because of insufficient data
samples or difficult instances. To address these training difficulties, this
thesis presents two different approaches to improve the detection performance
in the relatively light-weight way. As the intrinsic feature of data-driven in
deep learning, the first approach is ""slot-based image augmentation"" to enrich
the dataset with extra foreground and background combinations. Instead of the
commonly used image flipping method, the proposed system achieved similar mAP
improvement with less extra images which decrease training time. This proposed
augmentation system has extra flexibility adapting to various scenarios and the
performance-driven analysis provides an alternative aspect of conducting image
augmentation",1630,57
